feature,coefficient
defence=rb leipzig,-0.007082332549955054
defence=real betis,0.003780076597603723
defence=real madrid,-0.00907709149685412
defence=real sociedad,-9.38311592620836e-05
defence=rio ave,0.006355699928793154
defence=roma,-0.010743406492977918
defence=rosenborg,-0.0018678938737086126
defence=ruzomberok,0.012521073638956538
defence=sabah,-0.00828876870296764
defence=samsunspor,-0.0030182435387551563
defence=sandefjord,-0.0005313064777017627
defence=sarpsborg fk,-0.00884644529425532
defence=sc cambuur,0.011645900130138227
defence=sc rheindorf altach,0.0021397756362736167
defence=sevilla,0.003111411938450157
defence=shakhtar donetsk,-0.0068283585878946155
defence=sk brann,0.0013791541868497167
defence=slavia prague,-0.0072524092849390025
defence=slovacko,0.012210917968448946
defence=slovan bratislava,-0.010435685723099013
defence=slovan liberec,-0.004966642606048149
defence=sparta prague,0.004700321748404568
defence=sparta rotterdam,-0.002304631773026469
defence=sporting cp,-0.001345297715353373
defence=stade rennais,0.0020905041285635873
defence=strasbourg,-0.004861835914398559
defence=stuttgart,0.014829974835644043
defence=sv josko ried,0.003108863930727408
defence=tromso,0.006086634526473135
defence=udinese,-0.00226046156367509
defence=valencia,-0.0041781767971248275
defence=valerenga,-0.0022332827336673535
defence=viking,0.0013718446953005442
defence=villarreal,0.000260666939759993
defence=vitoria de guimaraes,0.0007259279500970344
defence=wolfsberger,0.002039324957502506
defence=zemplin michalovce,-0.0057997057782964495
european_attack=domestic,2.7665766157249843e-08
european_home=none,2.7665766157249843e-08
leg=single,2.7665766157249843e-08
stage=domestic,2.7665766157249843e-08
